event_id,ts,category,rule,src,src_mac,dst,dst_mac,flows,spkts,dpkts,sbytes,dbytes,uniq_dports,proto,top_dport,atk,mal,shadow_atk,shadow_mal,atk_thr,mal_thr,decision
2026-04-04 13:42:51|MALWARE|C2_BACKDOOR|192.168.89.10|192.168.88.200|eb780bb6cd9f,2026-04-04 13:42:51,MALWARE,C2_BACKDOOR,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1791,1812,21,57984,1260,1,17,4444,,0.999987,0.436382,0.563618,,0.600,BLOCKED
2026-04-04 13:43:20|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|0ed898ebb4c5,2026-04-04 13:43:20,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,4,4,0,308,0,1,17,53,,,0.493122,0.506878,,,OBSERVED
2026-04-04 13:43:20|OBSERVED|OBS_UNKNOWN|192.168.88.200|135.18.128.209|6ef55f0810c6,2026-04-04 13:43:20,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,135.18.128.209,??,1,32,0,29813,0,1,6,443,,,0.501528,0.498472,,,OBSERVED
2026-04-04 13:43:51|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|88b458ef60d9,2026-04-04 13:43:51,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,4,6,0,620,0,1,17,53,,,0.492588,0.507412,,,OBSERVED
2026-04-04 13:43:51|OBSERVED|OBS_UNKNOWN|192.168.88.200|135.232.92.97|72764e9ff7d2,2026-04-04 13:43:51,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,135.232.92.97,??,1,57,0,62177,0,1,6,443,,,0.508859,0.491141,,,OBSERVED
2026-04-04 13:44:22|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|944a5960a2ba,2026-04-04 13:44:22,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,4,4,0,318,0,1,17,53,,,0.493078,0.506922,,,OBSERVED
2026-04-04 13:44:22|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|c4e678a74b61,2026-04-04 13:44:22,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,6,1143,0,55320,0,1,6,80,,,0.527894,0.472106,,,OBSERVED
2026-04-04 13:44:52|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|12cb2facb9cb,2026-04-04 13:44:52,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,5,892,0,42600,0,1,6,80,,,0.523470,0.476530,,,OBSERVED
2026-04-04 13:44:52|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|7f2b87e91f7d,2026-04-04 13:44:52,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,3,8,0,925,0,1,17,53,,,0.492356,0.507644,,,OBSERVED
2026-04-04 13:45:21|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|fe27dcd3c40f,2026-04-04 13:45:21,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,6,605,0,28391,0,1,6,80,,,0.518490,0.481510,,,OBSERVED
2026-04-04 13:45:52|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|0db06f82df98,2026-04-04 13:45:52,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,2,2,0,156,0,1,17,53,,,0.493299,0.506701,,,OBSERVED
2026-04-04 13:45:52|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|95c7ab8051f6,2026-04-04 13:45:52,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,4,1257,0,60445,0,1,6,80,,,0.529753,0.470247,,,OBSERVED
2026-04-04 13:46:22|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|c888216e79d7,2026-04-04 13:46:22,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,2,233,0,10706,0,1,6,80,,,0.512344,0.487656,,,OBSERVED
2026-04-04 13:46:24|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|7e1eda7aa454,2026-04-04 13:46:24,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,3,4,0,312,0,1,17,53,,,0.493105,0.506895,,,OBSERVED
2026-04-04 13:46:52|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|79e13e2b5243,2026-04-04 13:46:52,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,6,1275,0,62551,0,1,6,80,,,0.530410,0.469590,,,OBSERVED
2026-04-04 13:47:23|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|8a08cae21e2e,2026-04-04 13:47:23,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,3,3,0,231,0,1,17,53,,,0.493188,0.506812,,,OBSERVED
2026-04-04 13:47:23|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|074842c07556,2026-04-04 13:47:23,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,2,992,0,47067,0,1,6,80,,,0.525174,0.474826,,,OBSERVED
2026-04-04 13:47:53|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|197ff4306ef1,2026-04-04 13:47:53,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,4,1770,0,83759,0,1,6,80,,,0.537948,0.462052,,,OBSERVED
2026-04-04 13:47:53|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|6de1ea2c00c0,2026-04-04 13:47:53,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,2,3,0,237,0,1,17,53,,,0.493154,0.506846,,,OBSERVED
2026-04-04 13:48:39|MALWARE|C2_BACKDOOR|192.168.89.10|192.168.88.200|7b09cf733db5,2026-04-04 13:48:39,MALWARE,C2_BACKDOOR,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,536,543,6,17376,360,1,17,4444,,0.999979,0.436261,0.563739,,0.600,BLOCKED
2026-04-04 13:49:08|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|0e6ae6cf2507,2026-04-04 13:49:08,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,2,2,0,156,0,1,17,53,,,0.493299,0.506701,,,OBSERVED
2026-04-04 13:49:08|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|83d1abf4e32f,2026-04-04 13:49:08,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,4,1720,0,90169,0,1,6,80,,,0.540058,0.459942,,,OBSERVED
2026-04-04 13:49:38|OBSERVED|OBS_UNKNOWN|192.168.88.200|8.8.8.8|9c7bd4590ca6,2026-04-04 13:49:38,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,8.8.8.8,??,5,5,0,397,0,1,17,53,,,0.493044,0.506956,,,OBSERVED
2026-04-04 13:50:08|OBSERVED|OBS_UNKNOWN|192.168.88.200|20.17.94.0|3e62da86e2fd,2026-04-04 13:50:08,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,20.17.94.0,??,7,1494,0,71781,0,1,6,80,,,0.533643,0.466357,,,OBSERVED
2026-04-04 13:55:53|MALWARE|C2_BACKDOOR|192.168.89.10|192.168.88.200|7ada4e4316df,2026-04-04 13:55:53,MALWARE,C2_BACKDOOR,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1154,1171,14,37472,840,1,17,4444,,0.999987,0.436314,0.563686,,0.600,BLOCKED
2026-04-04 13:56:51|MALWARE|RANSOMWARE_PRECHECK|192.168.89.10|192.168.88.1|fbbca0f6d5b8,2026-04-04 13:56:51,MALWARE,RANSOMWARE_PRECHECK,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,800,800,800,48000,32000,10,6,135,,0.652408,0.499885,0.500115,,0.600,BLOCKED
2026-04-04 14:05:26|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|7d6b8b744bb4,2026-04-04 14:05:26,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,41226,41239,40668,1814604,1626784,41217,6,0,0.998910,,0.875351,0.124649,0.600,,BLOCKED
2026-04-04 14:05:56|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|46e70171222c,2026-04-04 14:05:56,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1122,2238,1114,89712,49064,1,6,445,0.999991,,0.510170,0.489830,0.720,,BLOCKED
2026-04-04 14:07:55|OBSERVED|OBS_UNKNOWN|192.168.88.200|109.61.38.38|60cf2dbfb7c0,2026-04-04 14:07:55,OBSERVED,OBS_UNKNOWN,192.168.88.200,08:00:27:3D:FF:04,109.61.38.38,??,4,2848,0,130847,0,1,6,80,,,0.589693,0.410307,,,OBSERVED
2026-04-04 14:12:14|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|cb07b2efd8a8,2026-04-04 14:12:14,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1618,3229,1614,129384,71088,1,6,445,0.999993,,0.510880,0.489120,0.720,,BLOCKED
2026-04-04 14:12:45|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|1e1d3a0c2668,2026-04-04 14:12:45,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,816,820,791,36128,31640,810,6,0,0.998607,,0.512908,0.487092,0.600,,BLOCKED
2026-04-04 14:13:44|ATTACK|ICMP_FLOOD|192.168.88.200|192.168.89.10|ab425dbfdb12,2026-04-04 14:13:44,ATTACK,ICMP_FLOOD,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,4,25311,25319,708932,709184,1,1,0,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 14:13:46|ATTACK|ICMP_FLOOD|192.168.89.10|192.168.88.200|d72f6a27e9a6,2026-04-04 14:13:46,ATTACK,ICMP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,4,25319,25311,709184,708932,1,1,0,0.857741,,0.559311,0.440689,0.550,,BLOCKED
2026-04-04 14:14:47|ATTACK|UDP_FLOOD|192.168.89.10|192.168.88.200|4916309f160f,2026-04-04 14:14:47,ATTACK,UDP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,77422,77422,31,2167816,1736,1,17,123,0.999987,,0.528862,0.471138,0.720,,BLOCKED
2026-04-04 14:15:49|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|c197f2bcd7bc,2026-04-04 14:15:49,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,5544,41103,48825,2647004,40633708,1,6,80,0.999987,,0.820598,0.179402,0.720,,BLOCKED
